rs,base_estimator,feature_type,test_type,sgl_method,sgl_stacks,pgm,psl,auc_diff_mean,ap_diff_mean,auc,ap,count,dataset
1,lr,full,full,None,0,None,None,0.0,0.0,0.8344352338755989,0.6393438310120256,10,youtube
1,lr,full,full,None,0,mrf,None,0.028686202993074773,-0.010064823339314022,0.866082104038078,0.6303514551288504,10,youtube
1,lr,full,full,None,0,psl,mle,-0.010165684914792828,-0.07236148272854134,0.8239884664267576,0.5678833856585365,10,youtube
1,lr,full,full,holdout,1,None,None,-0.10284910286493379,-0.2878924766252425,0.7200057282649591,0.35118990171486414,10,youtube
1,lr,full,full,holdout,1,mrf,None,0.024202080386413638,-0.02983289540719042,0.8644960041101091,0.6130666398877809,10,youtube
1,lr,full,full,holdout,1,psl,mle,-0.0194475070677123,-0.09025679697034658,0.8179697955764954,0.5505102433384712,10,youtube
1,lr,full,full,holdout,2,None,None,-0.10649291612129586,-0.2967285290008638,0.710483042993989,0.33801814744710684,10,youtube
1,lr,full,full,holdout,2,mrf,None,0.022688214846842046,-0.05558401878797098,0.861049283005992,0.5821569743388502,10,youtube
1,lr,full,full,holdout,2,psl,mle,-0.02522595491622437,-0.1302464083921682,0.8098683875892911,0.504873676266761,10,youtube
1,lr,full,inductive,None,0,None,None,0.0,0.0,0.7713162481846059,0.48763744428397815,10,youtube
1,lr,full,inductive,None,0,mrf,None,0.052825532049396426,-0.0002784566876489647,0.8354238453054428,0.49006951451260355,10,youtube
1,lr,full,inductive,None,0,psl,mle,-0.018812999213445224,-0.0798378393442374,0.7517205357817668,0.4083178165337089,10,youtube
1,lr,full,inductive,holdout,1,None,None,-0.012357957657792384,-0.017803652913253913,0.7637547014781952,0.4698966145981632,10,youtube
1,lr,full,inductive,holdout,1,mrf,None,0.04620954915294891,-0.019837436435737137,0.829110000800271,0.46720017864958696,10,youtube
1,lr,full,inductive,holdout,1,psl,mle,-0.029319064334078715,-0.09631081557439762,0.7452228237178959,0.39099392765963226,10,youtube
1,lr,full,inductive,holdout,2,None,None,-0.019192937487589202,-0.03917339773653786,0.7542354103405575,0.44469873211836186,10,youtube
1,lr,full,inductive,holdout,2,mrf,None,0.044954214460867246,-0.04569453963262098,0.8282374961311909,0.4394834881901729,10,youtube
1,lr,full,inductive,holdout,2,psl,mle,-0.034638843194297254,-0.1306910105579464,0.7373443844574635,0.35113995534113596,10,youtube
1,lr,limited,full,None,0,None,None,0.0,0.0,0.7383313117131082,0.33928313219309736,10,youtube
1,lr,limited,full,None,0,mrf,None,0.054416157700947085,0.04504373435376427,0.8016218323941257,0.385423719263675,10,youtube
1,lr,limited,full,None,0,psl,mle,-0.12072086478125094,-0.08990161237966308,0.6391964280388331,0.2521001598012819,9,youtube
1,lr,limited,full,holdout,1,None,None,-0.011562619469980339,0.009298997326440826,0.7200057282649591,0.35118990171486414,10,youtube
1,lr,limited,full,holdout,1,mrf,None,0.04888128812398418,0.05093240155948423,0.7971236967568714,0.39622860564145057,10,youtube
1,lr,limited,full,holdout,1,psl,mle,-0.12409833095946507,-0.08752122668369473,0.6237925422406907,0.25938710259054876,10,youtube
1,lr,limited,full,holdout,2,None,None,-0.015206432726342423,0.00046294495081943,0.710483042993989,0.33801814744710684,10,youtube
1,lr,limited,full,holdout,2,mrf,None,0.04753043963455457,0.04335397872122481,0.7878910529424912,0.3794944889197539,10,youtube
1,lr,limited,full,holdout,2,psl,mle,-0.14348850045595038,-0.09814572828576938,0.5983772560369379,0.24234468171093748,10,youtube
1,lr,limited,inductive,None,0,None,None,0.0,0.0,0.67197307278895,0.17073815314197452,10,youtube
1,lr,limited,inductive,None,0,mrf,None,0.07717287241907296,0.04337983971550523,0.7515410590236925,0.2095445385589807,10,youtube
1,lr,limited,inductive,None,0,psl,mle,-0.14914910941177859,-0.06563345788395666,0.5362302562176665,0.10735282626575995,10,youtube
